lambda [Angstrom],atmospheric_emission [arbitrary flux units]
4299.3164,0.11707326
4301.206,0.115882054
4303.0967,0.11721907
4304.9883,0.123487666
4306.8804,0.120597504
4308.7734,0.1166898
4310.6675,0.124447204
4312.562,0.1485128
4314.4575,0.1740162
4316.354,0.18633191
4318.2515,0.18611763
4320.1494,0.18669936
4322.0483,0.16287704
4323.948,0.1332015
4325.8486,0.1350985
4327.75,0.15712921
4329.6523,0.16508076
4331.5557,0.16227445
4333.4595,0.16550273
4335.3643,0.1646416
4337.27,0.14555173
4339.1763,0.12698373
4341.0835,0.13049218
4342.9917,0.14818576
4344.9004,0.1624064
4346.8105,0.17988794
4348.721,0.18078601
4350.6323,0.15583132
4352.545,0.14468317
4354.458,0.16434412
4356.372,0.31065685
4358.2866,0.5316375
4360.2026,0.30760744
4362.119,0.19881718
4364.0366,0.17893744
4365.9546,0.17633153
4367.8735,0.16876988
4369.7935,0.16504847
4371.7144,0.16245061
4373.6357,0.16226286
4375.558,0.16503161
4377.4814,0.16923127
4379.406,0.16809419
4381.3306,0.15601283
4383.2563,0.122348644
4385.183,0.13505249
4387.111,0.15299603
4389.039,0.14919583
4390.9683,0.15352207
4392.8984,0.15972477
4394.829,0.15670063
4396.7607,0.16312197
4398.6934,0.1657771
4400.627,0.16552949
4402.561,0.16920966
4404.496,0.15622185
4406.432,0.17215987
4408.369,0.1762913
4410.3066,0.18309197
4412.2456,0.193738
4414.1846,0.1762731
4416.125,0.17566966
4418.066,0.17922576
4420.0083,0.19249153
4421.9507,0.1781122
4423.8945,0.17438541
4425.839,0.1788905
4427.7847,0.17662284
4429.7305,0.1697521
4431.6777,0.17282535
4433.6255,0.15964611
4435.5747,0.1538159
4437.524,0.17724195
4439.4746,0.18042958
4441.426,0.16141263
4443.3784,0.15848884
4445.3315,0.17543751
4447.285,0.17036097
4449.24,0.16785398
4451.196,0.16585521
4453.1523,0.15630478
4455.1094,0.1443437
4457.068,0.14953801
4459.027,0.14701733
4460.987,0.14873008
4462.9478,0.15616985
4464.909,0.16282195
4466.872,0.16098458
4468.8354,0.15383898
4470.8,0.15514603
4472.7646,0.1674165
4474.731,0.1698669
4476.6978,0.16889784
4478.6655,0.16316728
4480.634,0.1486553
4482.6035,0.15488058
4484.5737,0.17032152
4486.545,0.16962962
4488.517,0.1579755
4490.4897,0.15751341
4492.464,0.16946992
4494.4385,0.16148736
4496.414,0.1653761
4498.39,0.17166083
4500.3677,0.16552196
4502.3457,0.16794369
4504.3247,0.17303945
4506.3047,0.17447914
4508.285,0.17117003
4510.2666,0.17268401
4512.2495,0.16649538
4514.2324,0.16353741
4516.217,0.16297045
4518.202,0.1627795
4520.188,0.17193687
4522.175,0.17007367
4524.1626,0.16306372
4526.151,0.15654874
4528.1406,0.15483221
4530.131,0.158831
4532.122,0.16729501
4534.1143,0.1624848
4536.107,0.16684438
4538.101,0.17773086
4540.0957,0.17102535
4542.0913,0.17541614
4544.088,0.17797855
4546.085,0.1752186
4548.0835,0.16408356
4550.0825,0.16136202
4552.0825,0.16741627
4554.0835,0.1617687
4556.085,0.16178487
4558.0874,0.1719278
4560.0913,0.1706429
4562.0957,0.16833459
4564.1006,0.15723486
4566.107,0.15880208
4568.114,0.16683449
4570.122,0.16308174
4572.131,0.16006875
4574.14,0.16763496
4576.151,0.16819967
4578.162,0.16735995
4580.175,0.16016783
4582.188,0.16016993
4584.202,0.1587469
4586.217,0.15568012
4588.233,0.165792
4590.2495,0.16080992
4592.267,0.15514065
4594.2856,0.15607305
4596.305,0.15297529
4598.325,0.15716016
4600.3467,0.15089843
4602.3687,0.15236466
4604.3916,0.15317683
4606.4155,0.15446895
4608.44,0.16387863
4610.466,0.1608482
4612.492,0.15349053
4614.5195,0.15433058
4616.548,0.15429878
4618.577,0.1516062
4620.6074,0.15583964
4622.638,0.15817432
4624.6704,0.15358263
4626.703,0.15733954
4628.737,0.1550382
4630.771,0.152553
4632.8066,0.15237586
4634.843,0.15268196
4636.8804,0.14727858
4638.9185,0.14518082
4640.9575,0.15116845
4642.997,0.1509438
4645.038,0.14376876
4647.0796,0.13821241
4649.1226,0.1460373
4651.166,0.15380087
4653.2104,0.1517267
4655.256,0.14859547
4657.302,0.16080813
4659.349,0.17161256
4661.397,0.16672373
4663.446,0.16407777
4665.4956,0.15617536
4667.5464,0.15027347
4669.598,0.16390897
4671.6504,0.16892423
4673.704,0.16628067
4675.7583,0.16893065
4677.8135,0.1587553
4679.8696,0.15399234
4681.927,0.15550068
4683.9844,0.15834965
4686.0435,0.15824005
4688.103,0.15382014
4690.1636,0.15283439
4692.225,0.15219435
4694.2876,0.15608777
4696.351,0.15305153
4698.4155,0.14514379
4700.4805,0.14414638
4702.547,0.14150177
4704.614,0.14797094
4706.6816,0.14941171
4708.7505,0.1500931
4710.8203,0.1532021
4712.8906,0.15173075
4714.9624,0.14992216
4717.0347,0.15599893
4719.108,0.16041249
4721.182,0.1552031
4723.2573,0.1572247
4725.3335,0.15883876
4727.4106,0.15093356
4729.489,0.15443999
4731.5674,0.14914559
4733.647,0.15878299
4735.728,0.15379876
4737.8096,0.16131496
4739.892,0.16357477
4741.975,0.16658959
4744.0596,0.16581029
4746.145,0.15553814
4748.231,0.15334074
4750.318,0.15309663
4752.4062,0.15568979
4754.495,0.14820164
4756.585,0.14285731
4758.6753,0.14928077
4760.767,0.14235519
4762.86,0.1378349
4764.953,0.13624707
4767.048,0.13694969
4769.143,0.14376828
4771.2393,0.1410823
4773.3364,0.14347763
4775.4346,0.14777601
4777.5337,0.15137531
4779.634,0.1508141
4781.7344,0.1445679
4783.8364,0.14021982
4785.939,0.13941224
4788.0425,0.14031382
4790.147,0.14138262
4792.253,0.1459437
4794.359,0.14740536
4796.4663,0.14772677
4798.5747,0.13884366
4800.684,0.14056593
4802.794,0.14438042
4804.9053,0.1430771
4807.017,0.1412007
4809.13,0.13952681
4811.2437,0.14206773
4813.3584,0.14497027
4815.474,0.15219387
4817.591,0.15358336
4819.7085,0.1564589
4821.827,0.1544455
4823.9463,0.14793816
4826.067,0.15263371
4828.188,0.15129499
4830.31,0.14865853
4832.4336,0.15183683
4834.5576,0.1522086
4836.6826,0.15179178
4838.8086,0.15135574
4840.9355,0.1489756
4843.063,0.14480586
4845.192,0.14754705
4847.322,0.14825341
4849.452,0.14044401
4851.584,0.14383425
4853.7163,0.13654244
4855.8496,0.1250967
4857.9844,0.12196403
4860.1196,0.11903909
4862.256,0.12104351
4864.393,0.12506165
4866.5312,0.13291338
4868.67,0.13874204
4870.81,0.12547824
4872.951,0.12716663
4875.093,0.13416368
4877.236,0.13838533
4879.3794,0.1465211
4881.5244,0.14495684
4883.67,0.14366248
4885.8164,0.1375287
4887.964,0.13713251
4890.113,0.12998039
4892.262,0.13462535
4894.4126,0.14694047
4896.564,0.14760615
4898.716,0.14247754
4900.869,0.14136007
4903.0234,0.13875428
4905.1787,0.14462999
4907.3345,0.14226949
4909.4917,0.13411283
4911.6494,0.13394047
4913.8086,0.14294878
4915.9683,0.14493608
4918.129,0.12706259
4920.291,0.11833515
4922.4536,0.13261256
4924.617,0.13539921
4926.7817,0.13873419
4928.9473,0.14040753
4931.114,0.14022222
4933.2812,0.13200212
4935.4497,0.1364988
4937.619,0.13339394
4939.7896,0.1323683
4941.9604,0.14067246
4944.133,0.13877092
4946.306,0.13618852
4948.48,0.14147955
4950.6553,0.14077276
4952.831,0.14596012
4955.0083,0.13958533
4957.186,0.12107124
4959.365,0.13591056
4961.545,0.14198628
4963.726,0.14667997
4965.9077,0.14340997
4968.0903,0.14647949
4970.274,0.14804406
4972.459,0.15660082
4974.6445,0.16060673
4976.831,0.16575043
4979.0186,0.1737057
4981.207,0.17412193
4983.3965,0.16681227
4985.587,0.17025365
4987.7783,0.1692703
4989.9707,0.15893857
4992.164,0.15674353
4994.3584,0.14899091
4996.5537,0.1465191
4998.75,0.13907912
5000.9473,0.13459365
5003.145,0.13515607
5005.344,0.1304565
5007.5444,0.13137922
5009.7456,0.13563989
5011.9473,0.12607703
5014.1504,0.12176813
5016.3545,0.12738141
5018.559,0.12516323
5020.765,0.12850209
5022.972,0.1257739
5025.1797,0.12646458
5027.3887,0.1244565
5029.5986,0.13051865
5031.809,0.13405578
5034.021,0.12922107
5036.2334,0.12170245
5038.4473,0.12108638
5040.662,0.110680304
5042.8774,0.120228745
5045.094,0.13036586
5047.3115,0.12570255
5049.5303,0.11914957
5051.7495,0.120167196
5053.97,0.12676156
5056.1914,0.12824672
5058.414,0.12815382
5060.6377,0.1282747
5062.862,0.1312024
5065.0874,0.12429809
5067.3135,0.1258503
5069.541,0.13421987
5071.769,0.12616645
5073.9985,0.12290896
5076.2285,0.12557651
5078.46,0.11839126
5080.6924,0.1295356
5082.9253,0.14440794
5085.1597,0.15424362
5087.3945,0.14575543
5089.631,0.13171531
5091.868,0.12772956
5094.106,0.12708883
5096.345,0.12486515
5098.5854,0.122098275
5100.826,0.12844874
5103.0684,0.123863675
5105.3115,0.119338654
5107.5557,0.11692556
5109.8003,0.11654322
5112.0464,0.12306301
5114.2935,0.12372527
5116.5415,0.12660792
5118.7905,0.12510012
5121.0405,0.11920872
5123.2915,0.113663204
5125.543,0.11168763
5127.796,0.11430832
5130.05,0.11735768
5132.3047,0.12190873
5134.561,0.12519275
5136.818,0.12092241
5139.0757,0.11579449
5141.3345,0.119033314
5143.594,0.11995971
5145.855,0.12249659
5148.117,0.12712972
5150.38,0.1324037
5152.6436,0.13736461
5154.9087,0.13873191
5157.1743,0.13069579
5159.441,0.1252726
5161.709,0.12222253
5163.9775,0.11491182
5166.2476,0.099548206
5168.5186,0.09860556
5170.79,0.10279586
5173.063,0.0924182
5175.337,0.11735454
5177.6113,0.12178192
5179.887,0.11749234
5182.164,0.09887911
5184.442,0.09126213
5186.7207,0.1221732
5189.0005,0.1257935
5191.2812,0.115180515
5193.563,0.11429058
5195.846,0.13037196
5198.13,0.16545253
5200.4146,0.1516425
5202.7,0.13563113
5204.9873,0.11482288
5207.275,0.11416875
5209.564,0.12234883
5211.854,0.12721612
5214.1445,0.11977116
5216.4365,0.11793488
5218.7295,0.12848903
5221.0234,0.12746316
5223.3184,0.13275445
5225.614,0.11688324
5227.911,0.10986393
5230.209,0.12428684
5232.508,0.11918083
5234.8076,0.11694772
5237.1084,0.13111353
5239.4106,0.13875882
